,Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
0,ACCIONA,"136,2000","3,73","136,2000","131,7000",72.462,"9.699,16",14/06/2021,16:59:10
1,ACERINOX,"11,7150","0,13","11,8500","11,6800",422.796,"4.963,46",14/06/2021,16:59:52
2,ACS,"25,6700","0,98","25,8300","25,5000",1.168.421,"29.890,30",14/06/2021,17:01:00
3,AENA,"142,5000","1,46","142,7000","140,5000",28.992,"4.110,35",14/06/2021,16:59:22
4,ALMIRALL,"14,8400","-0,80","15,0600","14,8200",126.922,"1.891,36",14/06/2021,16:56:07
5,AMADEUS,"65,6000","-0,15","66,3800","65,2600",476.085,"31.240,05",14/06/2021,17:00:28
6,ARCELORMIT.,"27,1050","-0,61","27,6300","27,0300",255.192,"6.951,57",14/06/2021,17:00:39
7,B.SANTANDER,"3,4555","0,61","3,4675","3,4160",21.100.175,"72.545,72",14/06/2021,17:01:00
8,BA.SABADELL,"0,6438","0,59","0,6470","0,6360",11.866.322,"7.615,60",14/06/2021,17:01:00
9,BANKINTER,"4,5180","1,12","4,5240","4,4790",1.078.862,"4.862,06",14/06/2021,17:00:59
10,BBVA,"5,3330","1,66","5,3370","5,2580",7.195.853,"38.066,19",14/06/2021,17:00:59
11,CAIXABANK,"2,8130","1,59","2,8150","2,7690",3.113.733,"8.688,73",14/06/2021,17:00:59
12,CELLNEX,"52,4800","1,35","52,5400","51,8400",352.326,"18.375,37",14/06/2021,17:01:00
13,CIE AUTOMOT.,"25,9000","0,70","26,0000","25,7800",78.776,"2.039,15",14/06/2021,17:00:34
14,ENAGAS,"19,8300","1,72","19,9200","19,5650",470.772,"9.324,17",14/06/2021,17:00:14
15,ENDESA,"22,2800","2,48","22,3000","21,8700",593.816,"13.158,44",14/06/2021,16:59:38
16,FERROVIAL,"25,3600","0,40","25,4500","25,1300",534.417,"13.517,55",14/06/2021,17:01:00
17,FLUIDRA,"34,0500","1,34","34,5500","33,7000",263.133,"8.945,14",14/06/2021,16:59:57
18,GRIFOLS CL.A,"23,6600","-2,55","24,5900","23,5600",665.221,"15.985,30",14/06/2021,17:00:00
19,IAG,"2,2790","-3,72","2,3660","2,2710",24.144.110,"55.560,21",14/06/2021,17:01:00
20,IBERDROLA,"10,8350","1,31","10,8500","10,7150",12.371.331,"132.744,63",14/06/2021,16:59:42
21,INDITEX,"31,8900","1,82","31,9100","31,4100",884.867,"28.018,80",14/06/2021,17:00:26
22,INDRA A,"7,8100","2,02","7,8200","7,7000",722.027,"5.609,54",14/06/2021,16:59:26
23,INM.COLONIAL,"9,4650","0,11","9,4800","9,4050",334.187,"3.160,97",14/06/2021,17:00:12
24,MAPFRE,"1,8590","1,03","1,8600","1,8405",2.207.028,"4.090,83",14/06/2021,16:57:20
25,MELIA HOTELS,"7,0380","-0,73","7,1340","7,0160",487.992,"3.446,82",14/06/2021,17:00:57
26,MERLIN,"9,5640","0,65","9,6400","9,5100",172.373,"1.646,57",14/06/2021,17:00:26
27,NATURGY,"21,8600","-0,18","21,9500","21,7800",180.976,"3.954,97",14/06/2021,16:54:51
28,PHARMA MAR,"77,7000","0,54","78,2600","76,8200",48.901,"3.797,46",14/06/2021,17:00:43
29,R.E.C.,"17,0750","1,10","17,1100","16,9150",2.200.569,"37.317,62",14/06/2021,16:59:09
30,REPSOL,"11,4880","2,44","11,5000","11,2200",8.299.604,"80.584,94",14/06/2021,17:00:45
31,SIEMENS GAME,"26,0300","5,21","26,0500","24,8000",574.659,"14.752,72",14/06/2021,17:00:12
32,SOLARIA,"15,9600","5,45","15,9950","15,2400",948.087,"14.887,20",14/06/2021,17:00:59
33,TELEFONICA,"4,1205","1,01","4,1485","4,0800",5.280.252,"21.714,84",14/06/2021,17:00:59
34,VISCOFAN,"57,6500","-0,52","58,1500","57,5000",24.331,"1.403,27",14/06/2021,16:59:14
