,Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
0,ACCIONA,"138,6000","1,91","139,7000","136,0000",91.608,"12.700,38",16/06/2021,Cierre
1,ACERINOX,"11,1400","-1,85","11,4450","11,0750",747.514,"8.343,20",16/06/2021,Cierre
2,ACS,"25,2200","-1,25","25,7300","25,2000",717.426,"18.188,83",16/06/2021,Cierre
3,AENA,"143,1000","0,53","144,6000","142,1500",90.511,"12.975,64",16/06/2021,Cierre
4,ALMIRALL,"14,6700","-0,54","14,7800","14,6700",164.823,"2.426,14",16/06/2021,Cierre
5,AMADEUS,"63,7400","-1,18","64,8800","63,5200",924.057,"58.953,16",16/06/2021,Cierre
6,ARCELORMIT.,"25,2150","-2,00","25,9650","24,7150",1.055.072,"26.484,62",16/06/2021,Cierre
7,B.SANTANDER,"3,3640","-1,81","3,4555","3,3430",38.868.740,"131.020,63",16/06/2021,Cierre
8,BA.SABADELL,"0,6096","-4,33","0,6390","0,6076",39.682.961,"24.428,03",16/06/2021,Cierre
9,BANKINTER,"4,3580","-1,74","4,5060","4,3260",2.534.565,"11.082,64",16/06/2021,Cierre
10,BBVA,"5,3090","-1,14","5,4400","5,2860",15.058.342,"80.415,32",16/06/2021,Cierre
11,CAIXABANK,"2,7180","-2,09","2,7960","2,7010",12.333.864,"33.856,35",16/06/2021,Cierre
12,CELLNEX,"52,5000","1,12","52,7800","51,9200",1.043.763,"54.704,06",16/06/2021,Cierre
13,CIE AUTOMOT.,"25,6000","-1,54","26,2600","25,5600",177.083,"4.547,34",16/06/2021,Cierre
14,ENAGAS,"19,9950","-0,07","20,1200","19,9700",909.859,"18.219,74",16/06/2021,Cierre
15,ENDESA,"22,8300","1,69","22,9000","22,4900",1.715.296,"39.105,79",16/06/2021,Cierre
16,FERROVIAL,"25,1800","-0,75","25,5100","25,1800",846.359,"21.366,08",16/06/2021,Cierre
17,FLUIDRA,"33,6000","-0,74","34,0000","33,4500",176.418,"5.939,61",16/06/2021,Cierre
18,GRIFOLS CL.A,"23,5600","0,73","23,6400","23,2500",647.842,"15.245,35",16/06/2021,Cierre
19,IAG,"2,2920","0,84","2,3060","2,2560",7.901.814,"18.034,02",16/06/2021,Cierre
20,IBERDROLA,"10,9500","1,15","11,0250","10,8300",13.496.216,"147.638,56",16/06/2021,Cierre
21,INDITEX,"31,0600","-0,06","31,2500","30,9700",2.082.473,"64.687,36",16/06/2021,Cierre
22,INDRA A,"7,7400","-0,90","7,8400","7,6000",667.245,"5.143,67",16/06/2021,Cierre
23,INM.COLONIAL,"9,2200","-1,65","9,3900","9,2200",1.073.875,"9.927,20",16/06/2021,Cierre
24,MAPFRE,"1,8725","0,08","1,8875","1,8675",3.080.374,"5.773,33",16/06/2021,Cierre
25,MELIA HOTELS,"6,9760","0,72","7,0220","6,8880",602.989,"4.200,12",16/06/2021,Cierre
26,MERLIN,"9,3580","-0,72","9,5080","9,3540",560.680,"5.253,77",16/06/2021,Cierre
27,NATURGY,"21,9800","0,23","22,0700","21,8500",872.939,"19.196,09",16/06/2021,Cierre
28,PHARMA MAR,"76,8000","-1,71","78,3600","75,5800",83.236,"6.372,82",16/06/2021,Cierre
29,R.E.C.,"17,3450","0,55","17,4700","17,2400",1.678.283,"29.125,56",16/06/2021,Cierre
30,REPSOL,"11,2740","-1,73","11,5500","11,2540",9.999.871,"99.721,98",16/06/2021,Cierre
31,SIEMENS GAME,"26,8800","3,03","27,1200","26,2100",1.033.980,"27.756,44",16/06/2021,Cierre
32,SOLARIA,"16,3650","3,41","17,3400","16,2600",2.184.178,"36.460,74",16/06/2021,Cierre
33,TELEFONICA,"4,0595","-0,65","4,1050","4,0500",9.483.148,"38.550,38",16/06/2021,Cierre
34,VISCOFAN,"57,8500","0,52","58,2500","57,2500",60.519,"3.499,70",16/06/2021,Cierre
